,total_count,tfidf_rate
aaabigaill,1,0.4060693000190117
aaah,3,1.6474392849317105
aaam,1,0.4624317608940402
aaand,4,2.0563299747041035
aaanndd,1,0.4420400326026645
aaannndd,1,0.5767387895687321
aabha,1,0.34478840330442273
aace,1,0.580924740460472
aachen,1,0.3723663006729791
aacn,1,0.4457552578678034
aacrcovid,1,0.5568929219625836
aadhaar,4,2.0569181658256004
aadhan,1,0.4859819276348692
aadhar,8,3.5859614055735913
aadi,1,0.7349677006052969
aadiganesha,3,1.4092385498359814
aadil,1,0.5049322265152174
aadmi,2,0.8990287894777674
aadr,1,0.48761468921803613
aafa,1,0.49402226205216665
aafweek,1,0.6186214499419476
aage,1,0.4889874325708876
aaic,5,2.327419559171317
aaima,2,0.9085501447012471
aajkibaat,2,0.9574008826830456
aajtak,4,1.6940974186800424
aajtaknews,1,0.474379349057939
aajtakno,1,0.9081610658374545
aajvs,1,0.458786426675519
aakash,1,0.3377504673690697
aalo,1,0.32970072665502054
aalskere,1,0.39022230743388764
aamc,2,0.9522053710295583
aami,3,1.3621530269322744
aamir,1,0.5231726134918833
aamirkhan,1,0.4161001617716537
aamong,1,0.43840562594884486
aanbevolen,1,0.40664069420563265
aanes,3,1.5026713627663804
aantay,1,0.4370878526592936
aapcares,1,0.45635166432548335
aapda,1,0.3564517489278959
aapdha,1,0.47284783423333854
aapis,1,0.44769266533571983
aapko,1,0.2896763809376407
aapl,9,4.070050122595516
aaps,3,1.297677283096636
aaradhya,6,2.7443513376137965
aaradhyabachchan,1,0.4619152375998787
aare,1,0.48679436095646306
aarey,1,0.33115243627298135
aarhus,1,0.44383119831391604
aarhusuniversity,1,0.589345594132387
aarogya,11,4.4513817952323915
aarogyahasta,2,0.833589280101494
aarogyapath,2,0.9123798047991469
aarogyasetu,6,2.9611681554322464
aarogyasetuapp,3,1.5928710238388486
aarogyasri,2,1.1307238209140018
aarogysri,1,0.5432540941960743
aaron,11,4.394930294658884
aaronburch,1,0.5619267756890253
aarp,1,0.7231650173037493
aarron,1,0.47560402284105024
aarti,3,1.291799664046834
aartidrugs,1,0.46049765159001876
aasifsheikh,1,0.5755384726099401
aasiya,2,0.8480203877617748
aasld,2,0.8620315240894307
aasma,1,0.424225999603864
aate,2,0.8730368072997251
aati,1,0.43875010769653044
aatma,2,0.9793180139882041
aatmanirbhar,5,2.470354871730921
aatmanirbharbharat,7,3.421227035608994
aatmanirbharbharatabhiyan,1,0.5366494214653887
aatmanirbharkrishi,1,0.47896517033180136
aave,2,0.7164068262162132
aaya,2,1.0676419658235
aaye,6,2.1691169031263136
aayega,2,1.0711574590660544
aaynob,2,1.245963867730091
aayog,10,4.084556055876859
ababa,2,0.8515756945360493
abaca,1,0.40843295158411297
abacha,2,0.7521618184759248
aback,2,1.0885698227273766
abacu,1,0.40631756286820897
abacus,1,0.6095881905332714
